,Alpha,Error
0,0.02,2784102.01661544
1,0.039999999999999994,7128086.293615163
2,0.06,1861546.2470083123
3,0.07999999999999999,17544767.6761673
4,0.09999999999999999,12140074.387880718
5,0.11999999999999998,22228790.967104916
6,0.13999999999999999,12896347.521171777
7,0.15999999999999998,40681152.67748129
8,0.17999999999999997,2132196.0003740177
9,0.19999999999999996,2045127.9918019979
10,0.21999999999999995,6337756.124291056
11,0.23999999999999996,194314128.90007
12,0.25999999999999995,27375835.99820032
13,0.27999999999999997,2912188576.9649687
14,0.3,7807315.239762205
